Sample	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
S107_R1	19496.0	43.0	39.0	59.0	48.0	49.0	42.0	44.0	54.0	381.0	198.0	45.0	453.0	75.0	37.0	39.0	36.0	180.0	54.0	53.0	108.0	52.0	74.0	82.0	67.0	77.0	112.0	565.0	108.0	90.0	624.0	73.0	57.0	65.0	81.0	276.0	296.0	55.0	256.0	72.0	204.0	120.0	2719.0	135186.0
S107_R2	20594.0	40.0	39.0	41.0	97.0	110.0	42.0	38.0	48.0	385.0	191.0	50.0	433.0	72.0	42.0	41.0	42.0	158.0	56.0	59.0	101.0	46.0	71.0	89.0	70.0	74.0	109.0	205.0	89.0	82.0	186.0	60.0	53.0	68.0	76.0	114.0	279.0	53.0	126.0	65.0	192.0	102.0	2075.0	135881.0
S10_R1	784.0	5.0	1.0	7.0	35.0	1.0	2.0	7.0	11.0	66.0	42.0	4.0	142.0	10.0	4.0	4.0	3.0	45.0	12.0	18.0	38.0	18.0	18.0	15.0	15.0	26.0	14.0	203.0	24.0	20.0	238.0	18.0	15.0	21.0	47.0	150.0	23.0	22.0	124.0	18.0	22.0	31.0	1859.0	225120.0
S10_R2	845.0	4.0	1.0	8.0	41.0	3.0	3.0	5.0	13.0	63.0	40.0	7.0	122.0	9.0	4.0	2.0	3.0	22.0	13.0	20.0	22.0	16.0	16.0	16.0	17.0	22.0	13.0	31.0	18.0	15.0	24.0	12.0	11.0	13.0	36.0	36.0	19.0	13.0	19.0	10.0	16.0	23.0	7747.0	219909.0
S110_R1	21053.0	103.0	55.0	80.0	107.0	114.0	123.0	156.0	87.0	441.0	275.0	65.0	803.0	89.0	69.0	89.0	72.0	291.0	88.0	115.0	182.0	102.0	171.0	192.0	146.0	157.0	156.0	1190.0	222.0	227.0	1082.0	156.0	125.0	152.0	230.0	608.0	459.0	149.0	607.0	176.0	445.0	223.0	5122.0	425196.0
S110_R2	22405.0	102.0	55.0	64.0	119.0	99.0	101.0	137.0	60.0	413.0	248.0	63.0	784.0	90.0	75.0	101.0	75.0	264.0	93.0	119.0	165.0	101.0	182.0	196.0	153.0	150.0	161.0	499.0	199.0	230.0	403.0	141.0	118.0	143.0	245.0	288.0	448.0	134.0	322.0	167.0	436.0	207.0	4676.0	426519.0
S112_R1	601.0	5.0	3.0	1.0	7.0	3.0	2.0	3.0	2.0	8.0	3.0	0.0	31.0	4.0	1.0	6.0	0.0	4.0	6.0	2.0	10.0	5.0	6.0	14.0	5.0	10.0	5.0	42.0	9.0	9.0	77.0	13.0	6.0	7.0	8.0	27.0	20.0	5.0	40.0	7.0	6.0	7.0	273.0	48157.0
S112_R2	648.0	5.0	4.0	1.0	8.0	5.0	2.0	4.0	3.0	5.0	3.0	0.0	34.0	4.0	1.0	5.0	1.0	3.0	4.0	6.0	8.0	6.0	5.0	15.0	5.0	9.0	4.0	21.0	8.0	12.0	22.0	9.0	5.0	8.0	8.0	13.0	22.0	7.0	15.0	8.0	5.0	7.0	588.0	47904.0
S113_R1	5853.0	21.0	14.0	19.0	34.0	38.0	24.0	44.0	21.0	67.0	29.0	18.0	108.0	26.0	21.0	29.0	32.0	49.0	31.0	34.0	43.0	22.0	58.0	61.0	47.0	54.0	81.0	222.0	90.0	95.0	224.0	44.0	50.0	58.0	83.0	170.0	128.0	79.0	139.0	68.0	173.0	98.0	2002.0	331994.0
S113_R2	6280.0	21.0	15.0	11.0	32.0	35.0	23.0	41.0	12.0	67.0	28.0	19.0	108.0	22.0	26.0	30.0	30.0	43.0	34.0	28.0	39.0	24.0	60.0	59.0	54.0	51.0	83.0	101.0	89.0	89.0	91.0	42.0	50.0	48.0	92.0	90.0	120.0	73.0	86.0	64.0	163.0	78.0	2721.0	331323.0
S114_R1	4713.0	23.0	6.0	7.0	20.0	9.0	12.0	23.0	10.0	20.0	16.0	1.0	19.0	3.0	8.0	4.0	8.0	8.0	18.0	23.0	12.0	8.0	13.0	17.0	11.0	36.0	11.0	46.0	8.0	11.0	43.0	12.0	18.0	19.0	143.0	18.0	31.0	15.0	17.0	13.0	21.0	22.0	793.0	324840.0
S114_R2	5045.0	22.0	7.0	6.0	27.0	10.0	5.0	16.0	7.0	22.0	10.0	2.0	18.0	3.0	8.0	6.0	10.0	9.0	16.0	25.0	9.0	8.0	13.0	18.0	9.0	36.0	13.0	30.0	8.0	8.0	26.0	11.0	15.0	14.0	143.0	16.0	29.0	10.0	17.0	11.0	20.0	15.0	2160.0	323216.0
S115_R1	6468.0	14.0	10.0	18.0	11.0	9.0	8.0	8.0	12.0	50.0	18.0	7.0	43.0	10.0	6.0	9.0	6.0	12.0	8.0	6.0	9.0	10.0	11.0	14.0	7.0	9.0	11.0	58.0	12.0	9.0	44.0	10.0	10.0	10.0	5.0	23.0	30.0	4.0	19.0	13.0	11.0	11.0	402.0	101725.0
S115_R2	6834.0	16.0	9.0	18.0	30.0	19.0	8.0	7.0	11.0	49.0	15.0	7.0	42.0	10.0	8.0	7.0	6.0	11.0	8.0	7.0	8.0	9.0	11.0	17.0	7.0	10.0	11.0	15.0	12.0	10.0	22.0	9.0	10.0	9.0	6.0	17.0	28.0	2.0	12.0	12.0	10.0	8.0	616.0	101207.0
S117_R1	393.0	50.0	17.0	11.0	5.0	3.0	13.0	18.0	2.0	193.0	119.0	1.0	565.0	1.0	4.0	2.0	2.0	136.0	5.0	0.0	119.0	3.0	2.0	2.0	1.0	2.0	4.0	308.0	15.0	1.0	457.0	2.0	0.0	7.0	2.0	173.0	213.0	6.0	101.0	4.0	12.0	10.0	718.0	251182.0
