Sample	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	240
S100_R1 - illumina_small_rna_3'_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047370540261011684	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.0007895090043501948	0.00300013421653074	0.009474108052202335	0.021474644918325292	1.4099051799685776	3.4582073408547225	3.4588389480582022	3.4588389480582022	3.4588389480582022	3.4588389480582022	3.4588389480582022	3.4588389480582022	3.4588389480582022	3.4588389480582022	3.4588389480582022	3.459312653460813	3.4596284570625526	3.4596284570625526	3.4596284570625526	3.4596284570625526	3.4596284570625526
S100_R1 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031580360174007787	0.0044212504243610895	0.037106923204459144	0.05637094291060389	0.06442393475497588	0.09174094630549261	0.12158438666992996	0.12332130647950039	0.12632144069603113	0.12632144069603113	0.1277425569038615	0.12805836050560154	0.12916367311169183	0.13216380732822258	0.13263751273083269	0.133900727137793	0.13942729016824437	0.14353273699086538	0.14511175499956577	0.15079621983088717	0.15079621983088717	0.1522173360387175	0.15553327385698834	0.15758599726829886	0.16090193508656964	0.1615335422900498	0.166428498117021	0.17037604313877203	0.174481489961393	0.1804817583944545	0.18285028540750506	0.18932425924317667	0.19406131326927784	0.20148269791016965	0.2117463149667222	0.21806238700152375	0.2267469860493759	0.24127395172941948	0.2468005147598708	0.25516931020598294	0.26116957863904433	0.271748999297337	0.28027569654431905	0.28943400099478134	0.29717118923741326	0.30206614506438445	0.30427677027656497	0.3047504756791751
S100_R2 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001894821610440467	0.02163254671919533	0.026843306147906622	0.028896029559217124	0.03473839619140856	0.04184397723056031	0.04184397723056031	0.04184397723056031	0.04200187903143035	0.042791388035780545	0.0434229952392607	0.04373879884100078	0.04484411144709105	0.04500201324796109	0.04531781684970117	0.046581031256661486	0.046581031256661486	0.0470547366592716	0.05210759428711285	0.05416031769842335	0.054476121300163424	0.054476121300163424	0.05479192490190351	0.055423532105383665	0.05716045191495409	0.06031848793235487	0.06237121134366537	0.06647665816628638	0.07168741759499767	0.0734243374045681	0.07437174820978833	0.07626656982022881	0.07721398062544901	0.07863509683327938	0.08021411484197977	0.0827405436559004	0.08431956166460078	0.08542487427069105	0.08984612469505215	0.09047773189853228	0.0948989823228934	0.09679380393333388	0.10232036696378524	0.10611001018466618	0.1091101444011969	0.11353139482555799	0.11447880563077822
S101_R1 - illumina_small_rna_3'_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002655795609969857	0.003319744512462321	0.007436227707915598	0.35879798690692766	0.8729600169970919	0.8730928067775905	0.8730928067775905	0.8730928067775905	0.8730928067775905	0.8730928067775905	0.8730928067775905	0.8730928067775905	0.8730928067775905	0.8730928067775905	0.8730928067775905	0.8730928067775905	0.8730928067775905	0.8730928067775905	0.8730928067775905	0.8730928067775904
S101_R1 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019918467074773924	0.005842750341933685	0.051124065491919744	0.064934202663763	0.07701807268912583	0.1723611350870437	0.2987770061216089	0.2987770061216089	0.2987770061216089	0.29944095502410134	0.3007688528290863	0.3018311710730742	0.30222954041456973	0.3032918586585577	0.30342464843905614	0.30422138712204705	0.30674439295151845	0.30674439295151845	0.3075411316345094	0.31072808636647326	0.31072808636647326	0.31099366592747024	0.3120559841714582	0.31271993307395063	0.31404783087893556	0.314446200220431	0.3153757286839205	0.3161724673669114	0.31670362648890543	0.3202889505623647	0.32148405858685114	0.32493659287981197	0.32639728046529537	0.32905307607526524	0.33396629795370947	0.3348958264171989	0.33874673005165523	0.343527162149601	0.3444566906130904	0.3445894803935889	0.3452534292960814	0.3493699124915347	0.3536191854674865	0.35388476502848343	0.35481429349197285	0.3569389299799487	0.35839961756543215	0.35853240734593067
S102_R1 - illumina_small_rna_3'_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008175946365791839	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0013626577276319733	0.0029978470007903414	0.0065407570926334715	0.015670563867767696	0.6457634971247922	1.571008094186902	1.5718256888234814	1.5718256888234814	1.5718256888234814	1.5718256888234814	1.5718256888234814	1.5718256888234814	1.5718256888234814	1.5718256888234814	1.5718256888234814	1.572370751914534	1.5725070176872973	1.5725070176872973	1.5725070176872973	1.5725070176872973	1.5725070176872973
S102_R1 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013626577276319733	0.003406644319079933	0.05055460169514621	0.06826915215436187	0.07453737770146893	0.10206306379963481	0.13558444389938135	0.13558444389938135	0.13558444389938135	0.13558444389938135	0.1365383043087237	0.13694710162701332	0.13694710162701332	0.13735589894530292	0.13762843049082932	0.1380372278091189	0.1393998855367509	0.14021748017333008	0.14117134058267244	0.1437603902651732	0.1437603902651732	0.14416918758346278	0.14498678222004197	0.1452593137655684	0.14621317417491075	0.14648570572043715	0.14648570572043715	0.14648570572043715	0.14648570572043715	0.1482571607663587	0.1489384896301747	0.15002861581228027	0.15070994467609627	0.15139127353991225	0.15316272858583382	0.15493418363175537	0.15588804404109777	0.15793203063254574	0.15806829640530892	0.1587496252691249	0.16270133267925763	0.16569917968004796	0.16638050854386394	0.16706183740767994	0.1688332924536015	0.1696508870901807	0.1696508870901807	0.1696508870901807
S103_R1 - illumina_small_rna_3'_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002184336125643014	0.00027304201570537676	0.0006006924345518289	0.0008191260471161301	0.0008191260471161301	0.0008191260471161301	0.0008191260471161301	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.001092168062821507	0.0013106016753858085	0.0016382520942322602	0.004095630235580651	0.009064994921418507	0.01698321337687443	1.2013302607005165	2.9389696486495342	2.9392972990683806	2.9392972990683806	2.9392972990683806	2.9392972990683806	2.9392972990683806	2.9392972990683806	2.9392972990683806	2.939570341084086	2.939570341084086	2.939570341084086	2.939570341084086	2.939570341084086	2.939570341084086	2.939570341084086	2.939570341084086
S103_R1 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008191260471161302	0.0016382520942322606	0.03096296458098972	0.0400825679055493	0.0465263594761962	0.06815128712006203	0.09556470549688185	0.09556470549688185	0.09556470549688185	0.09556470549688185	0.09578313910944616	0.09589235591572831	0.09611078952829262	0.09611078952829262	0.09611078952829262	0.09638383154399799	0.09654765675342122	0.09665687355970337	0.09698452397854981	0.09758521641310162	0.09774904162252487	0.09774904162252487	0.09774904162252487	0.09774904162252487	0.09774904162252487	0.0979674752350892	0.09824051725079455	0.0983497340570767	0.09911425170105176	0.09960572732932145	0.09966033573246251	0.09982416094188575	0.10047946177957864	0.10129858782669476	0.1023361474863752	0.10260918950208057	0.10370135756490209	0.1047935256277236	0.10490274243400574	0.10512117604657005	0.10512117604657005	0.10539421806227542	0.10599491049682726	0.10621334410939157	0.10665021133452016	0.10708707855964876	0.10730551217221304	0.10730551217221306
