Sample	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0
S100_R1	606.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	15.0	38.0	107.0	293.0	577.0	1085.0	1902.0	2507.0	3476.0	4402.0	5531.0	6637.0	7996.0	9703.0	11228.0	12872.0	14754.0	15823.0	16062.0	10824.0	220.0
S100_R2	752.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	14.0	150.0	537.0	1412.0	1690.0	1858.0	2248.0	3061.0	3876.0	4438.0	5566.0	6241.0	7339.0	8057.0	8921.0	9603.0	10173.0	10435.0	9998.0	9676.0	8446.0	6539.0	4239.0	1379.0	12.0
S101_R1	1735.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	42.0	157.0	333.0	702.0	1256.0	2110.0	2534.0	3201.0	4229.0	5349.0	6912.0	8467.0	10173.0	12346.0	14616.0	17196.0	20294.0	22197.0	16384.0	371.0
S101_R2	2218.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	147.0	696.0	1529.0	1526.0	906.0	728.0	671.0	668.0	712.0	785.0	957.0	1179.0	1589.0	2194.0	2901.0	3800.0	4949.0	6576.0	9277.0	13914.0	22094.0	36683.0	32899.0	1001.0
S102_R1	3606.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	41.0	110.0	282.0	543.0	993.0	1259.0	1430.0	1718.0	2179.0	2653.0	3295.0	4019.0	5071.0	6502.0	8799.0	13055.0	25441.0	61989.0	3772.0
S102_R2	3803.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	87.0	348.0	752.0	740.0	543.0	528.0	564.0	550.0	621.0	662.0	776.0	982.0	1212.0	1734.0	2339.0	3062.0	4040.0	5340.0	6836.0	9445.0	14305.0	26219.0	54122.0	7148.0
S103_R1	4232.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	23.0	78.0	187.0	405.0	942.0	1887.0	2672.0	3187.0	3823.0	5010.0	6472.0	8457.0	10842.0	13998.0	17882.0	24392.0	36231.0	67674.0	148353.0	9493.0
S103_R2	4528.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	127.0	751.0	2212.0	2491.0	1658.0	1472.0	1411.0	1370.0	1534.0	1745.0	2163.0	2943.0	4279.0	6162.0	8297.0	10678.0	13554.0	16929.0	21360.0	28261.0	41777.0	71354.0	108822.0	10364.0
S104_R1	7445.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	6.0	11.0	25.0	31.0	61.0	142.0	293.0	546.0	1137.0	2203.0	3441.0	3884.0	4671.0	5670.0	7148.0	9113.0	11395.0	14487.0	17924.0	24292.0	35580.0	59978.0	128772.0	1419.0
S104_R2	8114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	30.0	297.0	1209.0	2357.0	2197.0	1507.0	1382.0	1356.0	1415.0	1516.0	1752.0	1925.0	2477.0	3313.0	4691.0	6831.0	8754.0	11196.0	14526.0	18588.0	25177.0	36881.0	64322.0	111873.0	5992.0
S105_R1	7157.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	7.0	44.0	78.0	250.0	443.0	844.0	1542.0	1956.0	2065.0	2475.0	2919.0	3501.0	4441.0	5519.0	6860.0	8372.0	11370.0	17049.0	30881.0	67614.0	1147.0
S105_R2	7611.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	121.0	710.0	1862.0	2048.0	1405.0	1095.0	1179.0	1326.0	1649.0	1927.0	2055.0	2192.0	2737.0	3523.0	4622.0	5734.0	7133.0	8592.0	11266.0	14998.0	21767.0	34631.0	35969.0	377.0
S106_R1	144.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	2.0	15.0	33.0	47.0	51.0	107.0	217.0	465.0	976.0	2426.0	3611.0	4371.0	5108.0	6219.0	7753.0	9644.0	11809.0	15398.0	19834.0	26837.0	39995.0	77810.0	163434.0	13650.0
S106_R2	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	26.0	274.0	1126.0	2264.0	2012.0	1762.0	1825.0	1857.0	2196.0	2590.0	3171.0	4082.0	5946.0	8803.0	12368.0	15636.0	19006.0	22257.0	26746.0	33550.0	43342.0	60069.0	82593.0	55910.0	347.0
S107_R1	19453.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	7.0	8.0	17.0	43.0	124.0	245.0	473.0	951.0	1471.0	1703.0	1272.0	1520.0	1780.0	2300.0	2898.0	3525.0	4431.0	5806.0	7598.0	11389.0	20547.0	72255.0	3022.0
S107_R2	20548.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	30.0	215.0	977.0	1684.0	1573.0	1303.0	1494.0	1761.0	2173.0	2321.0	2487.0	2561.0	2745.0	3047.0	3909.0	5019.0	6148.0	7158.0	8682.0	10758.0	14388.0	19786.0	25953.0	16057.0	64.0
S10_R1	778.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	13.0	4.0	3.0	7.0	5.0	13.0	48.0	115.0	279.0	468.0	868.0	1427.0	1786.0	2233.0	2810.0	3604.0	4648.0	5867.0	7336.0	9663.0	13505.0	21684.0	46847.0	100823.0	4465.0
S10_R2	839.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	27.0	184.0	843.0	1733.0	1534.0	1150.0	1191.0	1224.0	1516.0	1855.0	2290.0	2280.0	2598.0	3711.0	5169.0	7019.0	9146.0	11658.0	15617.0	21372.0	30757.0	42059.0	45672.0	17711.0	142.0
S110_R1	20965.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	8.0	15.0	82.0	201.0	448.0	843.0	1514.0	2901.0	4152.0	4220.0	5133.0	6145.0	7920.0	9987.0	12651.0	15649.0	19945.0	27040.0	40064.0	76657.0	200062.0	5146.0
S110_R2	22309.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	226.0	973.0	2590.0	2929.0	2158.0	2197.0	2377.0	2876.0	3267.0	3762.0	4268.0	4491.0	5060.0	6593.0	8691.0	11089.0	14189.0	18139.0	23613.0	31931.0	47536.0	82327.0	149918.0	8217.0
S112_R1	600.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	23.0	63.0	101.0	229.0	418.0	617.0	661.0	774.0	992.0	1077.0	1370.0	1661.0	2104.0	2737.0	3521.0	5502.0	10714.0	16017.0	270.0
S112_R2	647.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	41.0	241.0	634.0	778.0	468.0	322.0	315.0	344.0	353.0	442.0	501.0	602.0	926.0	1241.0	1525.0	1930.0	2306.0	2904.0	3727.0	4994.0	7382.0	10274.0	6496.0	59.0
S113_R1	5837.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	24.0	100.0	241.0	473.0	913.0	1676.0	2395.0	2815.0	3405.0	4290.0	5742.0	7171.0	9211.0	11546.0	14922.0	20520.0	30757.0	55838.0	155967.0	8742.0
S113_R2	6264.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	23.0	290.0	1220.0	2555.0	2405.0	1985.0	2049.0	2158.0	2542.0	2825.0	3281.0	3909.0	4768.0	6744.0	9274.0	11981.0	14922.0	17791.0	21515.0	27208.0	34943.0	48477.0	65365.0	47484.0	616.0
S114_R1	4707.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	24.0	93.0	201.0	388.0	982.0	1940.0	2698.0	3078.0	3698.0	4637.0	5873.0	7588.0	9483.0	12209.0	15580.0	21132.0	31064.0	56699.0	133496.0	15557.0
S114_R2	5038.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	135.0	811.0	2314.0	2837.0	2068.0	1375.0	1407.0	1317.0	1412.0	1512.0	1822.0	2420.0	3403.0	4900.0	6732.0	8694.0	11115.0	13984.0	18116.0	24622.0	35466.0	61352.0	105811.0	12462.0
S115_R1	6460.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	12.0	35.0	69.0	157.0	319.0	591.0	756.0	849.0	1030.0	1312.0	1899.0	2406.0	2971.0	3653.0	4294.0	5556.0	8204.0	15239.0	50513.0	2873.0
S115_R2	6826.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	58.0	234.0	575.0	682.0	440.0	334.0	362.0	404.0	453.0	387.0	456.0	544.0	748.0	1084.0	1528.0	2128.0	2708.0	3550.0	4791.0	6728.0	9842.0	17417.0	40795.0	6123.0
