task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
126	07/5a2abf	47999	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.673	4.7s	4.3s	80.6%	198.8 MB	36.9 GB	35.3 MB	29.2 MB
115	e1/883801	42834	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.086	8s	7.8s	105.3%	1021.5 MB	36.9 GB	128.5 MB	112.6 MB
184	9d/eceeb0	48478	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.822	6.4s	5.8s	95.0%	688.3 MB	36.9 GB	78.1 MB	69.9 MB
182	1d/cfe679	48396	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.788	8.3s	7.7s	87.5%	1.1 GB	36.8 GB	113.3 MB	98.6 MB
47	92/982427	43150	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.304	11.6s	10.9s	79.1%	1.1 GB	36.8 GB	138.7 MB	111.5 MB
90	95/ebb9a6	8672	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:03.898	7.2s	7s	121.1%	1.2 GB	36.9 GB	137.6 MB	122.3 MB
30	fb/7ecc2d	43183	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.319	20.9s	19.5s	69.1%	1.3 GB	37 GB	261.1 MB	242.4 MB
98	68/05cbac	42854	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.151	21.2s	20.5s	30.3%	787.7 MB	36.8 GB	86.1 MB	76.5 MB
82	41/a74667	48264	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.756	22.8s	22.2s	45.8%	1.2 GB	36.7 GB	165.3 MB	150.9 MB
91	7b/16674b	47558	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.435	24.1s	23.5s	32.2%	1.1 GB	36.8 GB	115.4 MB	105.2 MB
93	9e/88ef40	64680	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:00.188	17.3s	17.1s	33.2%	665.6 MB	36.8 GB	76.8 MB	58.4 MB
110	95/9989c1	42975	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.233	25.8s	25.6s	26.9%	943.6 MB	36.8 GB	100 MB	87.8 MB
106	97/d9c5f9	22715	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:13.245	5.2s	4.9s	106.1%	565.4 MB	36.6 GB	75.3 MB	63.3 MB
196	ce/aedc3c	20232	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:11.151	8s	7.8s	119.8%	1.2 GB	36.9 GB	151.4 MB	136.8 MB
32	30/c90c27	45216	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.766	28.7s	28.3s	13.4%	151 MB	36.7 GB	35.2 MB	27.9 MB
101	4f/b0e1c5	48878	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.953	28.8s	28.1s	22.6%	525.3 MB	36.9 GB	88.8 MB	81 MB
141	07/263096	43247	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.345	31.2s	30.9s	56.9%	1.3 GB	36.8 GB	370.8 MB	338.2 MB
8	ff/5e0566	48092	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.713	33.1s	32.7s	32.0%	1.3 GB	36.8 GB	159.6 MB	140 MB
2	0d/f34b31	32386	CLASSIFIER (Retrieving Greengenes classifier)	COMPLETED	0	2021-04-07 17:16:19.139	8s	7.9s	7.2%	6.2 MB	259.2 MB	27.3 MB	27 MB
40	2a/7ded40	46962	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.253	35s	34.5s	58.7%	1.3 GB	36.8 GB	422.4 MB	392.6 MB
66	d3/1937a6	37021	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:22.719	5.7s	5.4s	147.7%	1.1 GB	37 GB	122.8 MB	111 MB
1	87/4e96e4	44146	REFERENCEDB	COMPLETED	0	2021-04-07 17:15:52.576	36.7s	36.5s	21.9%	6.2 MB	259.2 MB	49.1 MB	751.4 MB
33	59/35d96a	31543	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:18.069	11.8s	11.6s	104.2%	1.2 GB	36.6 GB	244.2 MB	224.4 MB
42	b7/eb8b3d	45708	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.883	37.1s	36.7s	41.0%	1.2 GB	36.6 GB	246 MB	228.4 MB
210	29/a82242	44566	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:28.422	1.8s	1.6s	239.9%	39 MB	34 GB	28.8 MB	19.6 MB
4	95/5e3a88	43506	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.422	40s	39.7s	31.0%	1.2 GB	36.8 GB	211.2 MB	193.4 MB
62	1e/0504b6	46881	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.231	39.8s	39.4s	36.9%	1.2 GB	36.6 GB	230.3 MB	215.5 MB
18	c6/73ef4f	44106	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:28.308	7s	6.8s	72.1%	476.8 MB	36.8 GB	79.1 MB	65.7 MB
60	b4/7387d7	46685	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:29.912	5.4s	4.6s	80.7%	243.9 MB	36.8 GB	32.3 MB	26.9 MB
14	ba/82099a	46190	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.018	42.4s	41.7s	27.2%	1.2 GB	36.8 GB	173.2 MB	158 MB
31	bd/3d6c8b	54536	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:35.334	6s	5.8s	93.7%	822.4 MB	36.8 GB	87.1 MB	76.4 MB
67	9a/b53a64	51464	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:32.450	9.1s	8.9s	60.8%	583.9 MB	36.8 GB	74.1 MB	62.5 MB
45	c5/be888f	22827	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:13.398	28.3s	27.6s	65.7%	1.3 GB	36.8 GB	373.1 MB	348.6 MB
88	9b/7c34f0	54529	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:35.329	6.5s	6.3s	65.7%	293.2 MB	36.6 GB	43.3 MB	31.6 MB
86	b1/eb9ad4	47306	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:30.255	11.9s	11.7s	73.9%	1.2 GB	36.8 GB	151.1 MB	131.7 MB
79	11/0b46f6	45811	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:29.261	15.9s	14.9s	92.0%	1.2 GB	36.8 GB	275.4 MB	255.9 MB
72	d2/81628f	45000	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.724	52.7s	52.4s	33.1%	1.2 GB	36.8 GB	398.9 MB	372.3 MB
50	e4/09d183	43709	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.476	53s	52.7s	13.5%	706.5 MB	36.6 GB	99.1 MB	83.8 MB
113	bb/6b05d4	41925	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:26.771	19.9s	19.6s	58.3%	1.2 GB	36.8 GB	226.7 MB	207.2 MB
97	96/8249da	64581	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:00.096	48s	47.5s	16.2%	640.8 MB	36.6 GB	111.6 MB	96.4 MB
99	a9/ec60a4	30451	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:17.496	35s	34.8s	44.6%	1.2 GB	36.6 GB	277.6 MB	255 MB
103	78/ba2e05	61813	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:41.547	14.6s	13.3s	75.6%	1.3 GB	36.9 GB	187.5 MB	172.2 MB
77	50/f41163	1771	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:45.517	10.6s	10s	72.8%	914.7 MB	36.8 GB	97.6 MB	88.3 MB
129	aa/4d01ef	44518	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.635	1m 4s	1m 3s	29.5%	289.4 MB	3.5 GB	47.9 MB	5.7 MB
65	bc/07e741	52272	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:33.086	23.1s	21.5s	43.4%	1.2 GB	36.8 GB	143.6 MB	133 MB
117	e9/cc7377	43117	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.290	1m 4s	1m 4s	36.6%	291.8 MB	3.5 GB	87.9 MB	5.7 MB
96	46/c81886	29661	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:16.607	39.9s	39.7s	55.8%	281.5 MB	3.5 GB	98.6 MB	5.6 MB
107	00/15199c	46386	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:53.085	1m 4s	1m 3s	35.2%	328.1 MB	3.7 GB	101.4 MB	5.7 MB
83	15/0739dc	49002	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:53.991	1m 3s	1m 2s	30.6%	287.1 MB	3.6 GB	55.8 MB	5.4 MB
63	b6/032618	47001	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:53.264	1m 4s	1m 3s	38.4%	322.7 MB	3.8 GB	135.3 MB	5.6 MB
68	42/0ee55c	44086	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.566	1m 5s	1m 4s	30.3%	322.3 MB	3.7 GB	31.7 MB	5.7 MB
89	eb/d6e218	47285	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:53.348	1m 4s	1m 4s	36.3%	327.6 MB	3.5 GB	89.4 MB	5.8 MB
74	48/217d60	43759	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.491	1m 5s	1m 5s	37.2%	310.4 MB	3.4 GB	110.2 MB	5.8 MB
25	67/762e66	44595	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.655	1m 5s	1m 4s	34.0%	318.4 MB	3.6 GB	47.8 MB	5.7 MB
17	76/fad3d4	43272	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.355	1m 5s	1m 5s	34.4%	281.1 MB	3.5 GB	91.7 MB	5.6 MB
11	c2/683d03	48960	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.973	1m 4s	1m 3s	22.0%	1.2 GB	36.6 GB	245.3 MB	227.3 MB
52	60/ff64f7	54724	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:35.430	22.5s	22.2s	43.4%	1.2 GB	36.7 GB	141.5 MB	129.6 MB
85	4d/c99537	46566	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.136	1m 5s	1m 5s	11.9%	1.1 GB	36.7 GB	112.2 MB	100.3 MB
84	be/521353	45081	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.743	1m 6s	1m 5s	37.5%	348.5 MB	3.7 GB	150.2 MB	5.7 MB
119	56/1cf156	46440	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:53.101	1m 7s	1m 6s	37.2%	311.3 MB	3.6 GB	141.1 MB	5.7 MB
51	8a/6e27a8	31863	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:18.502	41.5s	40.9s	54.2%	315 MB	3.6 GB	106.8 MB	5.7 MB
36	49/0d658d	1722	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:45.453	14.7s	14.2s	67.8%	1.2 GB	36.6 GB	151 MB	136.8 MB
81	da/65b6d0	59685	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:58.394	1m 2s	1m 1s	43.2%	333.3 MB	3.6 GB	163.7 MB	5.8 MB
7	cc/e8a04c	38094	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:23.511	36.7s	35.9s	73.4%	357.7 MB	3.6 GB	172.1 MB	5.6 MB
73	3e/15779f	61644	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:41.347	18.8s	17.9s	117.9%	329.4 MB	3.7 GB	80.7 MB	5.6 MB
41	79/3a2965	44878	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.699	1m 8s	1m 7s	41.5%	352.8 MB	3.5 GB	151.3 MB	5.7 MB
56	aa/428d1e	9104	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:52.463	8.3s	7.9s	78.9%	887.2 MB	37 GB	94.2 MB	82.7 MB
27	73/b62b8e	49212	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:54.052	1m 7s	1m 6s	45.8%	353.6 MB	3.6 GB	273.7 MB	5.7 MB
191	75/dca7c4	49327	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:54.086	1m 7s	1m 6s	35.8%	317.4 MB	3.5 GB	130.6 MB	5.6 MB
114	bb/adc231	44378	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.617	1m 9s	1m 8s	33.5%	341 MB	3.4 GB	112.6 MB	5.6 MB
87	52/6bf630	43558	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.437	1m 9s	1m 9s	35.3%	332.8 MB	3.5 GB	128 MB	5.7 MB
111	ac/8cb660	46766	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:29.961	31.4s	31.1s	89.0%	347 MB	3.7 GB	200 MB	5.6 MB
46	bd/bb9969	45827	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.902	1m 9s	1m 8s	38.8%	344.4 MB	3.6 GB	154.1 MB	5.7 MB
112	fc/fb0418	42944	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.218	1m 9s	1m 9s	38.5%	332.9 MB	3.5 GB	185.3 MB	5.7 MB
59	6b/f215fc	30534	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:17.539	44.6s	44.3s	56.3%	342.5 MB	3.7 GB	134.3 MB	5.7 MB
3	23/163373	42867	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.170	1m 10s	1m 10s	46.5%	380.2 MB	3.6 GB	223.8 MB	5.7 MB
35	e0/ee84de	47899	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:53.606	1m 9s	1m 8s	41.4%	359.3 MB	3.5 GB	163.5 MB	5.7 MB
104	b6/7441ab	47650	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.496	1m 9s	1m 8s	27.9%	1.3 GB	36.7 GB	387.4 MB	364 MB
26	0a/006b07	48750	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.892	1m 9s	1m 8s	34.1%	1.3 GB	36.7 GB	477.5 MB	443.4 MB
116	fc/07baaa	43302	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.365	1m 10s	1m 10s	46.3%	355.7 MB	3.5 GB	239.4 MB	5.8 MB
15	f5/e326b4	42918	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.203	1m 11s	1m 10s	32.5%	298.6 MB	3.5 GB	119.7 MB	5.7 MB
105	cd/503aa5	35648	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:21.426	41.6s	40.9s	68.8%	340.1 MB	3.5 GB	245 MB	5.6 MB
127	05/9665a6	43849	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.517	1m 11s	1m 11s	32.2%	301.4 MB	3.6 GB	107.2 MB	5.7 MB
34	85/d80d3b	44718	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.672	1m 11s	1m 11s	43.7%	343.1 MB	3.6 GB	256.9 MB	5.8 MB
58	ff/826878	62735	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:41.875	22.4s	21.9s	56.8%	1.3 GB	36.8 GB	209.8 MB	194.7 MB
76	5c/e1859e	48462	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:53.812	1m 11s	1m 11s	45.3%	335.2 MB	3.5 GB	288 MB	5.7 MB
70	b0/4cbbb8	21472	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:01.208	3.9s	3.4s	86.7%	43.3 MB	34 GB	19.1 MB	13.9 MB
38	63/212c18	46101	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.976	1m 12s	1m 11s	43.0%	345.6 MB	3.6 GB	258.6 MB	5.6 MB
102	5f/d58a2d	43220	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.333	1m 13s	1m 13s	47.1%	348.3 MB	3.5 GB	290.1 MB	5.6 MB
125	b2/69d526	13005	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:56.244	9.3s	8.6s	77.3%	802.7 MB	36.8 GB	94.6 MB	83.7 MB
57	d2/97d995	45904	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.938	1m 13s	1m 12s	44.1%	341.7 MB	3.5 GB	242.9 MB	5.6 MB
23	cf/e8ad00	42893	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.187	1m 14s	1m 14s	45.1%	346.4 MB	3.6 GB	289.2 MB	5.7 MB
75	3d/f17f97	19624	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:00.037	6.9s	6.3s	78.2%	507.9 MB	36.8 GB	68.2 MB	44.7 MB
121	a0/759bcc	44298	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.591	1m 14s	1m 14s	34.5%	339.1 MB	3.6 GB	130.1 MB	5.6 MB
39	c7/f90aa9	43950	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.534	1m 16s	1m 15s	48.6%	350 MB	3.6 GB	385.7 MB	5.7 MB
49	d7/f7be38	63713	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:42.175	26.3s	26s	53.5%	1.3 GB	36.6 GB	258.8 MB	240.6 MB
43	4a/51c712	4441	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:02.053	1m 6s	1m 6s	47.1%	347.3 MB	3.6 GB	271.4 MB	5.7 MB
10	e1/cc52f9	43028	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:27.187	41.3s	41s	76.1%	358.4 MB	3.6 GB	234.5 MB	5.6 MB
124	13/c6596c	44930	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.709	1m 17s	1m 16s	39.5%	340.9 MB	3.6 GB	220.4 MB	5.7 MB
16	65/97d76e	15913	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:57.684	13s	11.5s	62.3%	990.6 MB	36.8 GB	107.2 MB	95 MB
28	2b/43a4b5	4874	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:48.137	23s	21.1s	74.1%	1.2 GB	36.9 GB	276.6 MB	255.6 MB
44	f7/606f33	3152	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:46.655	24.8s	24s	100.7%	346.3 MB	3.7 GB	111.7 MB	5.6 MB
64	21/fb4fc1	21373	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:01.159	11.1s	10.2s	74.0%	883.5 MB	36.7 GB	121.7 MB	107.3 MB
71	75/eb83a5	43073	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.270	1m 20s	1m 20s	49.3%	353.6 MB	3.6 GB	411.5 MB	5.7 MB
54	79/0324fe	15266	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:57.385	15.5s	15s	75.8%	1.2 GB	36.8 GB	187 MB	172.5 MB
108	1b/7dab11	19618	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:00.029	13s	11.7s	83.2%	1.2 GB	36.9 GB	172.7 MB	154.9 MB
118	d3/8569f1	21993	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:01.410	11.8s	11.3s	65.4%	1.1 GB	36.9 GB	117.5 MB	104.4 MB
92	3c/f3cde4	45568	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.854	1m 20s	1m 20s	47.6%	355.4 MB	3.6 GB	373.6 MB	5.7 MB
6	b1/400a8c	15310	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:57.402	16.6s	15.7s	67.3%	1.2 GB	36.8 GB	176.7 MB	163 MB
250	dd/a37049	19741	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:00.167	14.2s	13.3s	64.1%	1.2 GB	36.9 GB	140.6 MB	123.8 MB
151	59/79ba26	44015	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.549	1m 22s	1m 22s	50.2%	401.4 MB	3.6 GB	375.1 MB	5.6 MB
128	27/acf538	17051	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:58.541	16.3s	15.5s	52.8%	1.2 GB	36.9 GB	131.8 MB	119.7 MB
122	fe/a439b5	12901	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:56.130	19.9s	18.8s	61.9%	1.2 GB	36.9 GB	207.8 MB	190.9 MB
5	bb/b6331b	62140	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:41.747	36.4s	36.1s	85.4%	339.9 MB	3.7 GB	189.2 MB	5.7 MB
234	69/ca0580	12990	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:56.223	22.2s	21.8s	95.1%	328.4 MB	3.6 GB	34.3 MB	5.7 MB
143	4e/677980	29978	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:05.399	14s	13.3s	56.9%	966.6 MB	36.8 GB	115.1 MB	102.9 MB
24	38/d29f5b	23689	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:02.413	19.1s	18.4s	51.3%	1.3 GB	36.8 GB	160.2 MB	138.5 MB
137	bc/57cb02	26903	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:03.793	17.9s	16.8s	59.6%	1.2 GB	36.9 GB	169 MB	152.7 MB
9	6a/c6d252	19733	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:00.158	21.6s	20.8s	61.7%	1.2 GB	36.8 GB	222 MB	205.7 MB
131	e4/be3907	24188	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:02.613	19.9s	18.8s	58.7%	1.2 GB	36.8 GB	195.3 MB	178.9 MB
146	a5/d23f9f	32545	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:06.602	16.3s	14.9s	62.2%	1.2 GB	36.9 GB	137.3 MB	120.3 MB
100	ae/c977f0	20513	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:00.759	22.7s	21.2s	61.6%	1.3 GB	36.9 GB	232.5 MB	216.3 MB
55	a9/f4adb6	23340	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:02.179	22.3s	21.6s	96.0%	282 MB	3.6 GB	44.9 MB	5.7 MB
170	b1/4c5d56	55936	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:18.471	6s	4.9s	72.3%	150.7 MB	36.8 GB	34.5 MB	28.2 MB
120	ac/d8c07f	19731	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:00.150	25.8s	24.3s	55.3%	1.2 GB	36.8 GB	247 MB	225.4 MB
95	d5/300ae9	13062	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:56.275	30s	29.5s	92.5%	346.6 MB	3.5 GB	124.2 MB	5.8 MB
69	f1/abe1e6	19759	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:00.195	26.3s	25.6s	86.2%	313.4 MB	3.6 GB	86.6 MB	5.6 MB
238	ec/ba8618	13511	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:56.675	30.1s	29.5s	87.5%	358.9 MB	3.6 GB	139.9 MB	5.6 MB
80	56/c9b95f	16262	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:57.921	29.2s	28.5s	91.3%	372.8 MB	3.6 GB	124.7 MB	5.6 MB
132	20/32cffc	24098	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:02.581	25.8s	25s	49.6%	1.2 GB	36.7 GB	223.7 MB	207.6 MB
164	d2/ef6638	47506	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:14.003	14.7s	13.9s	53.1%	920 MB	36.8 GB	120.4 MB	102.1 MB
21	38/07e066	48689	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.844	1m 36s	1m 35s	30.2%	1.3 GB	36.6 GB	574.9 MB	536.9 MB
53	b3/77f4ca	1281	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:45.164	45.1s	42.9s	71.0%	338.9 MB	3.6 GB	222.4 MB	5.6 MB
109	ea/10a889	43635	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:15:52.448	1m 38s	1m 38s	43.2%	360.9 MB	3.7 GB	400 MB	5.7 MB
179	f2/7ead83	1219	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:24.461	6.3s	4.7s	77.2%	152.9 MB	36.8 GB	28.7 MB	20 MB
150	d1/b89768	36113	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:08.453	22.5s	21.8s	92.5%	280.4 MB	3.6 GB	47.1 MB	5.8 MB
29	fb/47481d	22460	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:01.609	29.5s	29s	83.1%	346.7 MB	3.7 GB	99.6 MB	5.6 MB
48	a9/0de65f	12896	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:56.124	35.2s	34.9s	85.8%	364.9 MB	3.6 GB	199.6 MB	5.7 MB
162	8b/a3f1ac	45739	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:13.245	18.7s	18.2s	60.4%	1.2 GB	36.6 GB	178.6 MB	161.5 MB
78	87/4023a8	14559	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:57.105	35.4s	34.8s	88.0%	362 MB	3.6 GB	177.8 MB	5.6 MB
61	69/926fc0	21897	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:01.383	31.3s	30.7s	80.7%	323.7 MB	3.7 GB	156.2 MB	5.6 MB
