task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
290	12/f77954	17673	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:11.847	39.7s	38.5s	77.4%	352 MB	3.6 GB	187.4 MB	5.6 MB
284	96/8b2e4a	11057	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:07.795	45.8s	45.1s	69.9%	324.5 MB	3.5 GB	271.6 MB	5.6 MB
322	91/f0a4d7	42823	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:28.569	25.3s	24.5s	94.0%	336.7 MB	3.6 GB	44.7 MB	5.7 MB
327	0d/6ff34b	46305	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:30.759	23.2s	22.3s	90.7%	333.9 MB	3.7 GB	36 MB	5.6 MB
287	ee/c81d90	15598	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:10.653	43.4s	42.6s	70.8%	359.2 MB	3.5 GB	222.5 MB	5.7 MB
267	f5/5c059a	61320	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:17:59.318	55s	54.3s	66.7%	346.7 MB	3.7 GB	352.8 MB	5.7 MB
310	b6/f93f9b	37912	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:25.725	29.5s	28.9s	85.4%	334.9 MB	3.6 GB	120.3 MB	5.6 MB
293	38/4f4c78	20855	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:13.730	41.8s	41.1s	69.4%	345 MB	3.7 GB	242.7 MB	5.7 MB
307	a1/b9d38b	35656	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:23.999	31.9s	31.3s	80.8%	369.1 MB	3.7 GB	123.1 MB	5.7 MB
315	79/abd72c	39708	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:26.645	29.8s	29.1s	77.8%	330.2 MB	3.6 GB	118.5 MB	5.6 MB
312	39/2b02ef	38792	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:26.090	32s	30.8s	79.5%	348.3 MB	3.7 GB	138.7 MB	5.6 MB
329	f0/72bbd3	48981	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:32.705	25.8s	25.1s	78.2%	327.6 MB	3.6 GB	66.4 MB	5.6 MB
313	0a/dab729	39017	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:26.228	32.9s	32.2s	83.0%	344.8 MB	3.7 GB	135.6 MB	5.5 MB
269	a2/e6a621	64435	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:00.693	58.4s	57.5s	68.2%	326.1 MB	3.7 GB	407.7 MB	5.7 MB
332	74/93d3a1	52508	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:35.220	23.9s	23.2s	90.1%	315.5 MB	3.6 GB	46.3 MB	5.7 MB
281	ac/f8b896	10138	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:07.072	52.4s	51.6s	70.0%	351.5 MB	3.6 GB	363.3 MB	5.7 MB
309	c4/5051c6	36884	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:25.108	34.4s	33.5s	79.9%	356.1 MB	3.7 GB	170.5 MB	5.6 MB
289	4b/04b589	16758	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:11.237	48.4s	47.6s	70.7%	359.4 MB	3.6 GB	270.4 MB	5.6 MB
308	aa/0dba64	36573	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:24.647	35.5s	34.7s	77.9%	354.6 MB	3.6 GB	188.2 MB	5.7 MB
320	a5/d7737b	42195	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:28.168	32.1s	31.3s	74.6%	336.6 MB	3.6 GB	135.5 MB	5.6 MB
311	5f/4a7dbe	38727	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:26.048	35.8s	35.2s	83.4%	373.3 MB	3.7 GB	178.6 MB	5.7 MB
